IDS A1470 A1575 A1587 A1592 A1623 A1663 A1691 A1731 A1738 A1745 A1773 A1775 A1790 A1818 A1820 A3031 A3062 A3068 A3078 A3167 B1692 B1724 B1747 B1757 B1774 B1783 B1797 C2106 C2151 D2086 D2220 D2341 D2354 D2384 D2443 D2474 D2488 D2503 D2519 D2568 D2570 D2583 D3147 D3155 H0006 H0009 H0014 H0035 H0041 H0054 H0056 H0059 H0061 H0064 H0068 H0077 H0078 H0085 H0091 H0099 H0101 H0104 H0107 H0108 H0109 H0111 H0115 H0117 H0123 H0128 H0133 H0134 H0146 H0151 H0152 H0156 H0159 H0165 H0177 H0178 H0185 H0190 H0217 R3026 R3030 R3032 R3040 R3041 R3045 R3057 R3066 R3075 R3091 R3126 R3171
CRHR1 0.687256466926872 0.702947546722419 0.550608624372798 0.699716238465139 0.697151547670132 0.684606481974552 0.710130960877551 0.7426667571519 0.695602258140521 0.668196148452365 0.704536273870775 0.695251464752642 0.690958212298147 0.692613546482796 0.682325736534322 0.701372491685194 0.552770447480412 0.689922890607531 0.664699756599907 0.721401778967921 0.738642152658744 0.677788196302908 0.686659644929593 0.722375398745179 0.709863802011597 0.696727474930952 0.729563360051923 0.693158849748477 0.699363605260635 0.700793357901471 0.733027814350532 0.688067477184399 0.713727018778046 0.697234816744121 0.726907898461046 0.706174579074722 0.722054095036887 0.707795191165086 0.67436780349071 0.662761794968723 0.582840164251114 0.696922101579222 0.678099608319787 0.685287271846187 0.719798597590924 0.673740512035168 0.695917038113342 0.717374471417766 0.726564349957826 0.701768606967733 0.733278223577101 0.677377957109267 0.708135355689597 0.707753523007361 0.663946792927271 0.67028364322791 0.562037372888267 0.705384018349042 0.681615308819483 0.70573313427355 0.717664669039289 0.720432301767068 0.669289468326078 0.677978206445258 0.712390357267076 0.663256738529394 0.714075371580435 0.68847650197381 0.716867574018166 0.722585842318287 0.697824928515421 0.685133535192537 0.729298158103329 0.676204921396355 0.690808962419046 0.721316789394158 0.682763761849749 0.667910368634266 0.719617382466256 0.690048721113204 0.703365948548629 0.692377087344104 0.697029572392595 0.681503241096625 0.679157012315285 0.552982685541742 0.705280325319436 0.709728219743671 0.726203458399983 0.721671828009783 0.690740203225113 0.722793971034676 0.582072519469794 0.710391526304267 0.714771644586741
SYN3 0.440783631454098 0.459230444361892 0.471716899258013 0.448283060724276 0.449518510051601 0.453534889331945 0.457557799335938 0.466312744620764 0.449704000386562 0.455874028716917 0.476390521635926 0.471226292035979 0.446429031386366 0.462739346365946 0.454657155913856 0.453124972196212 0.476645220200427 0.499947965562357 0.471212710166489 0.456068566105289 0.470394016457454 0.427129652358686 0.532368093558489 0.444220927307093 0.483972533760139 0.484230230837179 0.439779441117049 0.448192014338677 0.453844045046862 0.438046088615394 0.469154063770695 0.443337053273521 0.443009689129333 0.475570851337143 0.453811170072285 0.491802193531855 0.443392204401069 0.460264276685264 0.453409175638114 0.473066546977245 0.457360335366926 0.465107581370956 0.530239053483222 0.487541113466829 0.486282464318268 0.500487494716625 0.501700726476842 0.475448608922652 0.436605697276689 0.443190320264644 0.45470778062799 0.459707478599856 0.500243481139956 0.464977505167945 0.507919879769323 0.459499192546983 0.466920782891841 0.48503798749388 0.455490202611289 0.508364577762078 0.464747103768345 0.424671904980453 0.524974731162733 0.475511507124794 0.461495490599278 0.475322384523221 0.427894614564326 0.476170313218989 0.482966727963707 0.402990004343962 0.452162950670136 0.469390589624915 0.481048437343915 0.493494175569262 0.446311478273347 0.450697386486915 0.434258192447535 0.490249332874684 0.478287202933961 0.438847669564079 0.445205466079845 0.466905276935376 0.460230636438714 0.489015398520087 0.492406885244837 0.457421164095262 0.49343654711683 0.450506945525675 0.43526272151458 0.477469051883387 0.449861652028655 0.466565971715241 0.463321173150258 0.481282181776013 0.466438123198408
MC2R 0.223989882099793 0.23303451562286 0.292015803025784 0.262685932699156 0.181699033589524 0.219799603999777 0.195056004055743 0.17244958838523 0.241401745377946 0.242145412112193 0.258641112319918 0.250518607210667 0.232619401981986 0.208291599482708 0.245510309236382 0.213815242928589 0.219258411044457 0.195137636560454 0.256645954218147 0.207017829943749 0.222407488411949 0.242571528339007 0.230862928580129 0.198068108027279 0.233956319955333 0.2386011676904 0.184495339358746 0.22566938661091 0.212042297789248 0.203779430985724 0.23808819131589 0.204117466376723 0.227203063423023 0.252027733677372 0.248827407156994 0.20684118553573 0.256480186591378 0.208719533525885 0.227484981418347 0.297456636425369 0.252754084223455 0.177227231752127 0.215569046937118 0.244134103160299 0.214664569605065 0.265876731396689 0.274253994748429 0.268358190884444 0.219768753360566 0.238976994885374 0.215791161637814 0.243544283825592 0.211575439633649 0.258481691667413 0.261527932889124 0.191395445578168 0.224514276874999 0.30787804274036 0.235696301883907 0.250908062156629 0.232806320431103 0.235706267155088 0.150274529251123 0.279293002533015 0.254561404223252 0.212226185847625 0.250599456768863 0.235134451093871 0.200059617785131 0.229128509796457 0.222442185668874 0.222210109470283 0.211604385621353 0.256267435585084 0.22812936608093 0.245031447947223 0.282066486200029 0.199788793292944 0.263825773843256 0.206077743616713 0.220976266803432 0.257505378902761 0.25189568464835 0.212478426789395 0.215659722953876 0.246290912391573 0.264325057792272 0.279145578249944 0.255802126475605 0.261040111442225 0.258754478248439 0.215742034035699 0.257794685442148 0.254015532833063 0.204344972307654
NOTCH4 0.670891244984 0.668838310859279 0.636733628659901 0.656520654380555 0.675035964151947 0.652583795800632 0.669954072382268 0.668373215470865 0.665126115979919 0.638743048848727 0.694743011232488 0.622995246269204 0.662940133648523 0.695401887253491 0.651412150780918 0.685128760036134 0.658096645474475 0.676744363311327 0.66533350577031 0.634774439414939 0.659384562271303 0.663690308575447 0.649360936398814 0.676498245651823 0.665545250772027 0.693126805699519 0.63680213350305 0.611563557792899 0.654423908221842 0.671450634469538 0.675474339379832 0.633165447851694 0.667854532924888 0.648371639034746 0.652012618494696 0.636115328185825 0.662500065813166 0.663636876512728 0.667670493418782 0.70223065922921 0.631873507724986 0.648469317751982 0.697166048786251 0.653238975631264 0.628000067798971 0.657679625621314 0.632726881176264 0.626684964771867 0.662484168967091 0.699022323238955 0.642926293814865 0.65131205360726 0.675965534033276 0.629555392450399 0.650998152623314 0.657755801006952 0.662066737238475 0.636904647155414 0.645377740281373 0.645531755063288 0.640308978399928 0.626588964458271 0.668777827379176 0.64934569135949 0.642286386766649 0.646864590172592 0.630987992576519 0.6828147050251 0.651791457749441 0.631321342533768 0.632742696548376 0.647016730153346 0.667906517293212 0.668288461028069 0.659467136798764 0.663543782447989 0.682077603793024 0.680436227635223 0.637632882156932 0.687154499045137 0.649393990854558 0.664968360053708 0.664649836563233 0.670148090006716 0.659758704895563 0.679487325811202 0.650667732805984 0.644563814722894 0.688831496564971 0.6340168253791 0.65481120571095 0.672117718129059 0.671127717748337 0.603444762082633 0.666739361688544
TPH1 0.818732183765402 0.812801984833196 0.830629383042795 0.857620744002598 0.812165362093864 0.85507528709411 0.86632170483759 0.826788379946005 0.813160828379848 0.83611518687604 0.834387004817747 0.802858483931609 0.824043864965339 0.855716966898796 0.863240756863885 0.825217414497676 0.824288042781482 0.822252834677534 0.833269129663747 0.804054229546657 0.849654807737515 0.79333112676196 0.831564136056386 0.790035665615568 0.800983501939318 0.805260556874192 0.855323934302013 0.819362281815514 0.823271029586719 0.826377721372533 0.781187817519944 0.843448367814745 0.814860742354685 0.840212978740576 0.857014863205762 0.815452076711014 0.814884073776514 0.823148867343147 0.797069865426452 0.812118650720793 0.824383794955349 0.815849135536481 0.809547972636294 0.818949563856235 0.827174403687864 0.821860305204689 0.773961558864468 0.835956649080449 0.825772494845812 0.855089261770199 0.849304534349288 0.801371942625863 0.825134476058897 0.816024359373773 0.848562287503385 0.813591659259719 0.824002762992775 0.834407635341835 0.809468070994524 0.843660103588989 0.843890484809132 0.791846578948482 0.815929271245839 0.860622975175194 0.82826372799945 0.837940192398686 0.826217637958298 0.819654138901158 0.809067808609938 0.860054825773769 0.809170016976135 0.804309140184101 0.816908357608884 0.846097322085287 0.839125149685047 0.862844803326485 0.845349116229109 0.83015607873747 0.79245678742547 0.823219427870638 0.805971633422033 0.826127948447955 0.812206307715645 0.822558848151086 0.816221869643002 0.830127323764482 0.808431375087986 0.821421732586558 0.847858982647156 0.852238244182616 0.824554997584456 0.772585040425478 0.865344689301772 0.79464513865064 0.835718256499397
CRH 0.541915737731711 0.600227563000154 0.604821925886026 0.559353382643919 0.653023720188299 0.588206632903218 0.677687114160734 0.56990922821984 0.664774807725591 0.603649726955268 0.609040360216772 0.603441825464239 0.649523751829578 0.55894226917185 0.577266304964122 0.587415413703703 0.555494384118096 0.623503022766004 0.646681081950417 0.572338765939436 0.657068437048962 0.578077918765079 0.568100983421079 0.658929749170342 0.614246433531869 0.643350956920236 0.592448537526046 0.601567484022232 0.495895931269999 0.57458092686074 0.670433486271779 0.601354781784848 0.60357481567997 0.521008456706101 0.602061852802502 0.576625970111557 0.639178281363934 0.598838979045593 0.627232016485255 0.667773923580048 0.600722737164285 0.56573401094601 0.577104268340214 0.606905053016781 0.602867140997954 0.63701825392058 0.543995456674948 0.578867471445416 0.619824245327074 0.606816239825891 0.607736082304403 0.569172372689448 0.559970615237312 0.613275425218881 0.589897395886507 0.605661749471884 0.623366234829558 0.608726582316023 0.610850600950999 0.54004541151156 0.628730040578855 0.629533285269771 0.562286951449859 0.618338154552256 0.645287684330842 0.619612369204631 0.56971004125181 0.625270975456827 0.625248829380012 0.574944008873463 0.644966396715352 0.675283408913898 0.598679271146981 0.597326188046139 0.574974143263678 0.588771186224139 0.596350406919466 0.507521115607533 0.629358917604141 0.577011269526394 0.569557304777331 0.581110414567916 0.639700792209764 0.576812871028681 0.52958890821529 0.570359341317243 0.627298094114879 0.59013569880542 0.659467832302742 0.570021717760742 0.659735631919002 0.682691253462445 0.618488005874684 0.54996712925293 0.622143535365667
SLC6A3 0.652292056812054 0.62681203601283 0.640836268732959 0.64265180052804 0.66688208998862 0.643950289764283 0.642048227456092 0.683778790735126 0.681107510055435 0.630645983179462 0.639556644170161 0.651723566302194 0.667880569539565 0.665836292715534 0.663465931777197 0.650821173775996 0.651227479301189 0.608434080283029 0.628566707457013 0.671027251905317 0.66580402797743 0.684196721118732 0.639815814849417 0.64787299409445 0.647978893614886 0.679260568113882 0.632665263720139 0.642314628990738 0.606267064745489 0.62019485025854 0.621027930917545 0.666080753433894 0.635524071151364 0.659705467947292 0.646122693412749 0.666611833987038 0.647037329042617 0.638967113799242 0.677915254677852 0.6666544028923 0.678805515763676 0.661717409291637 0.677038231210405 0.688651294490092 0.643161867726366 0.667065982544115 0.641373999728079 0.641222890291574 0.637012686437443 0.669926562971982 0.674326064739941 0.614506259769367 0.634647837690202 0.627810772839934 0.639928589371031 0.594857218397843 0.704540220063845 0.63553295940931 0.655115794884264 0.629192310154903 0.650295982238356 0.63296654478431 0.616352193852431 0.650883709572944 0.651521413609497 0.619542921712848 0.632611203915344 0.633298396011708 0.64510599611436 0.668412993547748 0.651436510880866 0.668648645858106 0.618534016597986 0.648945189097655 0.665875630604982 0.584292628630236 0.679208447035939 0.652988359333778 0.669658409731366 0.643722084444526 0.66430479004156 0.685392151890025 0.665067271857502 0.633157627565548 0.622219125562253 0.64736045405279 0.665322438808087 0.675396556327619 0.674663136121156 0.650022724915719 0.669535418664766 0.630615431857522 0.672607763963368 0.66476274120655 0.654705365860343
CRHR2 0.665213835197588 0.666946647201242 0.691371607863653 0.650967264351644 0.693743918062362 0.659522203372536 0.687693923216219 0.718270987988436 0.644762517260481 0.710094801471005 0.657810074441463 0.674058152895802 0.691113402133262 0.646886944358757 0.664325164989107 0.641566274393971 0.682094556062959 0.676639976439198 0.684850291851752 0.716516200548816 0.700632591475983 0.679677961451024 0.646169529157574 0.681785151242996 0.644418878682958 0.701874331385021 0.680131761385296 0.643733207163311 0.682404553908878 0.666051215674443 0.691191588759832 0.673101359324032 0.645215491239014 0.686056982714085 0.682783090543441 0.702247849849679 0.656858980357445 0.689553516154375 0.676631993758861 0.638379164042182 0.658431434585653 0.70902687710943 0.676068627337448 0.624996053693359 0.735906039520041 0.634969612831427 0.666684442004022 0.721217577067505 0.668255590630623 0.669475359386424 0.681941669729329 0.710301232523873 0.704727737335678 0.687728812493907 0.647069905281064 0.648890794939938 0.679412791439626 0.659357580169233 0.69177938734183 0.721088641043301 0.671097130683067 0.721640427474808 0.684326249746868 0.621906659784982 0.714714823250833 0.679770739491766 0.664608268976167 0.659975707332744 0.713361293730742 0.665129582909984 0.653980215037903 0.664533000670525 0.706611072481217 0.692732246643018 0.698747334281252 0.707630760091921 0.68982374985337 0.649187285874804 0.69390568834642 0.64856961110292 0.648410863351148 0.696372184260393 0.682540277017093 0.673383195018224 0.656915091685893 0.665631296256124 0.696563219462131 0.666427709136103 0.712554126597356 0.726797504302352 0.684890800186184 0.691712647733462 0.682069917162882 0.694683133600275 0.651242373450125
HTR1B 0.516214445537075 0.56823126231327 0.566778518655301 0.62947957974452 0.613168226784769 0.5000137366696 0.557683404074747 0.632739157501645 0.609323873838189 0.576836131798505 0.588165596901594 0.533126662668282 0.600327090237998 0.511959226688569 0.622873926813712 0.601368426896962 0.545261351230766 0.522766782242749 0.633945324923724 0.534676043353022 0.566727252686684 0.598215615499736 0.648284093537211 0.638644609010391 0.5458500263829 0.512143071570888 0.560303387271228 0.635410528568174 0.613980374264645 0.494453477658854 0.697474869419864 0.516742975608256 0.583298137854827 0.609560065414402 0.567839869567734 0.531759595411855 0.512955403301263 0.585345999744548 0.5483517943105 0.52470409320206 0.644441591742107 0.546089775340071 0.640398588050397 0.588951392690136 0.61658983128551 0.591408238132818 0.646736629068483 0.5743282501004 0.60294763868122 0.59634874384632 0.559010533132992 0.597620801739231 0.584534053623493 0.588648649638512 0.597760362484863 0.573682215630076 0.620784177481772 0.596987507609366 0.538075441156338 0.599311733968054 0.558346931204097 0.632962004218453 0.588969724974166 0.595430744162215 0.603927213680255 0.567540591318374 0.623582785017234 0.581182988444899 0.630794550520364 0.618786251012387 0.62118695596803 0.580181405375787 0.657238425047777 0.600568698118206 0.550071549208382 0.639015709612317 0.566316769340347 0.67558166795946 0.657297167251933 0.60482589668583 0.565627828343207 0.588524170858755 0.602075781899171 0.608388894849213 0.616467353046694 0.575397745603922 0.531149300983121 0.572069099305456 0.54598432036555 0.568367882882813 0.596980807279394 0.611408586264322 0.584015821112031 0.547976686432653 0.558023394075078
DRD4 0.508338134502646 0.588820505406119 0.467528564755628 0.667301452605144 0.452438403896396 0.57360054972961 0.560045057999251 0.649161638989878 0.651494029388759 0.510753955893425 0.478189387237849 0.693806982989297 0.660668234289448 0.352373294191966 0.684734174146966 0.314626805194778 0.694425044487543 0.554378881648706 0.457880463495553 0.428180930263855 0.658759601374892 0.410096175682699 0.531045120177435 0.379690780448727 0.636763791536079 0.654258605598251 0.475016266970296 0.551072649286663 0.617198508207385 0.515325810745901 0.470426297809591 0.620320178639678 0.569163441270474 0.447444334621645 0.664223869670937 0.599937699482366 0.457668027053712 0.689409521736628 0.631351600696458 0.66303721013488 0.448390196625557 0.671476530506677 0.550676009641079 0.439009251440274 0.64722414673748 0.424840161610338 0.258281866734937 0.525285824889622 0.581800629813841 0.608932402477711 0.70685257605842 0.70401621473847 0.69858039451331 0.61174428701132 0.676083708666385 0.559390653505559 0.694742795138008 0.614383783929001 0.662843827508395 0.585224379130258 0.490952732207304 0.255230857333682 0.352181280469248 0.684226634665336 0.627753986456039 0.58490933777269 0.426829583077572 0.657584497714237 0.413732506896171 0.681265678900367 0.593392437205599 0.536756947280043 0.436174321977006 0.448228830295426 0.640147502209101 0.544357041620841 0.650395717588519 0.601224509508052 0.588794560652428 0.638738513914286 0.660396492525066 0.543107479373797 0.603530221420395 0.468682634297641 0.672026927945948 0.251925539672049 0.46788185054432 0.297902524309408 0.70083714087407 0.706688624110542 0.629365117874988 0.648838507064732 0.593445314420693 0.416459881488288 0.408088462610274
